,Unnamed: 0.1,Unnamed: 0,Rank,Name,Rating,Medium,Sub Medium,Status,Genre,episodes/chapter?,Story Completed,Reviewed?
274,274,274,,GOSU,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
275,275,275,,Freaking Romance,1500.0,Comic,Manhwa/Webtoon,On Hold,,,YES,NO
276,276,276,,Immortal Weakling,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
277,277,277,,Code Adam,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
278,278,278,,Deor,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
279,279,279,,Flow,1500.0,Comic,Manhwa/Webtoon,Dropped,,,YES,NO
280,280,280,,Arma,1500.0,Comic,Manhwa/Webtoon,On Hold,,,NO,NO
281,281,281,,Tokyo Ghoul Re,1500.0,Comic,Manga,Dropped,,,YES,NO
282,282,282,,Tokyo Ghoul,1500.0,Comic,Manga,Completed,,,YES,NO
283,283,283,,My hero academia / Boku no Hero Academia,1550.0,Comic,Manga,Dropped,,,NO,NO
284,284,284,,Dr Stone,1500.0,Comic,Manga,Dropped,,,NO,NO
285,285,285,,Deadman Wonderland,1500.0,Comic,Manga,Completed,,,YES,NO
286,286,286,,Justice League,1500.0,Movie,American,Completed,,,YES,NO
287,287,287,,No Game No Life: Zero,1500.0,Movie,Anime,Completed,,,YES,NO
288,288,288,,Highschool of the Dead,1500.0,TV Seires,Anime,Completed,,,YES,NO
289,289,289,,Arceus and the Jewel of Life,1500.0,Movie,Anime,Completed,,,YES,NO
290,290,290,,Ant-Man and the Wasp,1500.0,Movie,American,Completed,,,YES,NO
291,291,291,,Ant-Man,1500.0,Movie,American,Completed,,,YES,NO
292,292,292,,Iron Man 3,1500.0,Movie,American,Completed,,,YES,NO
293,293,293,,Thor: The Dark World,1500.0,Movie,American,Completed,,,YES,NO
294,294,294,,Back to the Future Part III,1450.0,Movie,American,Completed,,,YES,NO
295,295,295,,How to become a dragon,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
296,296,296,,Masamune-kun no Revenge,1500.0,Comic,Manga,Dropped,,,NO,NO
297,297,297,,Toradora!,1500.0,TV Seires,Anime,Completed,,,YES,NO
298,298,298,,Suzumiya Haruhi no Yuuutsu,1500.0,TV Seires,Anime,Completed,,,YES,NO
299,299,299,,Sakura-sou no Pet na Kanojo,1500.0,TV Seires,Anime,Dropped,,,YES,NO
300,300,300,,Pokemon,1500.0,TV Seires,Anime,Completed,,,YES,NO
301,301,301,,Orange,1500.0,TV Seires,Anime,Completed,,,YES,NO
302,302,302,,Nanatsu no Taizai,1500.0,TV Seires,Anime,Dropped,,,YES,NO
303,303,303,,Anohana,1500.0,TV Seires,Anime,Completed,,,YES,NO
304,304,304,,SubZero,1500.0,Comic,Manhwa/Webtoon,Dropped,,,NO,NO
305,305,305,,Mirai Nikki,1500.0,TV Seires,Anime,Completed,,,YES,NO
306,306,306,,Pokémon: The Movie 2000 - The Power of One,1395.9223789912985,Movie,Anime,Completed,,,YES,NO
307,307,307,,Pokémon: The First Movie - Mewtwo Strikes Back,1500.0,Movie,Anime,Completed,,,YES,NO
308,308,308,,Four Lions,1500.0,Movie,British,Completed,Black Comedy,,YES,
309,309,309,,Old Taxi ,1500.0,TV Seires,Anime,Completed,"Mystery, Neo-noir",,YES,
310,310,310,,"Shiguang Dailiren
Watch Promotional Video",1450.0,TV Seires,Anime,Completed,"Sci-Fi, Thiller",,,NO
311,311,311,,Kingdom,1500.0,Comic,Manga,Reading/Watching,,,NO,NO
312,312,312,,Daredevil,1500.0,TV Seires,American,Dropped,,,YES,YES
313,313,313,,Sahsiyet,1500.0,TV Seires,Turkey,Reading/Watching,,,YES,NO
314,314,314,,Sex House,1500.0,TV Seires,American,Completed,"Black Comedy, Horror, psychological",10/10,YES,NO
315,315,315,,Mr Robot,1500.0,TV Seires,American,,,,,
316,316,316,,Game of Thrones,1500.0,TV Seires,American,,,,,
317,317,317,,Person Of Interest,1500.0,TV Seires,American,,,,,
318,318,318,,Westwolrd,1500.0,TV Seires,American,,,,,
319,319,319,,The boys,1542.8536882591618,TV Seires,,,,,,
320,320,320,,Cobra Kai,1500.0,TV Seires,American,On Hold,Action,,NO,NO
321,321,321,,Laakhon Mein Ek,1500.0,TV Seires,Indian,On Hold,,,,
322,322,322,,Prison Break,1500.0,TV Seires,American,Completed,,,,
323,323,323,,The office,1500.0,TV Seires,American,On Hold,,,,
324,324,324,,It's Always Sunny in Philadelphia,1500.0,TV Seires,American,Reading/Watching,,,,NO
325,325,325,,Freinds,1500.0,TV Seires,American,Completed,,,,
326,326,326,,What we do in shadows,1500.0,TV Seires,American,On Hold,,,,
327,327,327,,How I met your Mother,1500.0,TV Seires,American,Completed,,,,
328,328,328,,Poison Pen,1500.0,Book,Fanfiction,On Hold,,,YES,NO
